,num_incident,accident_type
270,2010S000271,lateral_collision
271,2010S000272,frontal-lateral_collision
272,2010S000273,rear-end_collision
273,2010S000274,fall--motorcycle
274,2010S000275,frontal-lateral_collision
275,2010S000276,rear-end_collision
276,2010S000277,crash_into_stationary
277,2010S000278,lateral_collision
278,2010S000279,rear-end_collision
279,2010S000280,fall--motorcycle
280,2010S000281,"fall--motorcycle,frontal-lateral_collision"
281,2010S000282,frontal_collision
282,2010S000283,frontal-lateral_collision
283,2010S000284,rear-end_collision
284,2010S000285,run_over
285,2010S000286,rear-end_collision
286,2010S000287,Other_types
287,2010S000288,rear-end_collision
288,2010S000289,lateral_collision
289,2010S000290,frontal-lateral_collision
290,2010S000291,frontal-lateral_collision
291,2010S000292,rear-end_collision
292,2010S000293,frontal-lateral_collision
293,2010S000294,fall--motorcycle
294,2010S000295,fall--motorcycle
295,2010S000296,rear-end_collision
296,2010S000297,lateral_collision
297,2010S000298,"frontal-lateral_collision,crash_into_stationary"
298,2010S000299,run_over
299,2010S000300,fall_inside_vehicle
300,2010S000301,run_over
301,2010S000302,frontal-lateral_collision
302,2010S000303,rear-end_collision
303,2010S000304,crash_into_stationary
304,2010S000305,crash_into_stationary
305,2010S000306,frontal-lateral_collision
306,2010S000307,frontal-lateral_collision
307,2010S000308,crash_into_stationary
308,2010S000309,rear-end_collision
309,2010S000310,rear-end_collision
310,2010S000311,lateral_collision
311,2010S000312,rear-end_collision
312,2010S000313,lateral_collision
313,2010S000314,lateral_collision
314,2010S000315,"fall_inside_vehicle,frontal-lateral_collision"
315,2010S000316,lateral_collision
316,2010S000317,rear-end_collision
317,2010S000318,crash_into_stationary
318,2010S000319,multiple_rear-end_collision
319,2010S000320,frontal-lateral_collision
320,2010S000321,"fall--motorcycle,rear-end_collision"
321,2010S000322,lateral_collision
322,2010S000323,lateral_collision
323,2010S000324,frontal-lateral_collision
324,2010S000325,lateral_collision
325,2010S000326,fall--motorcycle
326,2010S000327,lateral_collision
327,2010S000328,"lateral_collision,fall--motorcycle"
328,2010S000329,lateral_collision
329,2010S000330,"overturning,lateral_collision,rear-end_collision"
330,2010S000331,frontal-lateral_collision
331,2010S000332,run_over
332,2010S000333,lateral_collision
333,2010S000334,run_over
334,2010S000335,multiple_rear-end_collision
335,2010S000336,run_over
336,2010S000337,run_over
337,2010S000338,frontal-lateral_collision
338,2010S000339,frontal-lateral_collision
339,2010S000340,rear-end_collision
340,2010S000341,frontal-lateral_collision
341,2010S000342,frontal-lateral_collision
342,2010S000343,crash_into_stationary
343,2010S000344,lateral_collision
344,2010S000345,crash_into_stationary
345,2010S000346,"Other_types,crash_into_stationary"
346,2010S000347,frontal-lateral_collision
347,2010S000348,crash_into_stationary
348,2010S000349,"Other_types,crash_into_stationary"
349,2010S000350,frontal-lateral_collision
350,2010S000351,crash_into_stationary
351,2010S000352,crash_into_stationary
352,2010S000353,multiple_rear-end_collision
353,2010S000354,crash_into_stationary
354,2010S000355,lateral_collision
355,2010S000356,frontal-lateral_collision
356,2010S000357,lateral_collision
357,2010S000358,frontal-lateral_collision
358,2010S000359,frontal-lateral_collision
359,2010S000360,frontal-lateral_collision
360,2010S000361,fall--motorcycle
